ID,n7HRing,nS,n6aHRing,SlogP_VSA11,NddssS,nG12FHRing,SlogP_VSA7,n7Ring,SMR_VSA6,GATS2pe,SLogP,n10FaRing,AATSC0pe,Xch-6dv,VSA_EState6,nBridgehead,JGI6,AATS2Z,ATSC6v,NddsN,ATSC6dv,EState_VSA9,Xch-6d,AATSC2v,nCl,AATSC0i,JGI10,NdS,JGT10,ATSC7v,VSA_EState7,FilterItLogS,n5Ring,Xc-5d,EState_VSA2,AATS1p,NaaCH,AATSC0d,GATS1pe,ATSC7p,Xc-5dv,C1SP3,NssssN,ATSC5p,AATS0v,n7aRing,n10FARing,nRing,ATSC2v,n10FRing,GATS1Z,Xch-3d,NdsN,nG12Ring,CIC0,ATSC4Z,GATS2d,nAromAtom,ATSC2dv,fMF,ATSC8dv,nFAHRing,Class
D0107,0,0,0,5.749511833,0,2,0,0,66.00075637,0.874826441,3.9909,0,0.122070582,0.497143262,10.95278424,2,0.021554228,20.68776371,5.273277809,0,-225.9728249,18.94745182,0.916823412,10.61864757,0,1.394749596,0.00828948,0,0.569571929,-2072.162241,5.944736805,-7.553730195,3,2.103657493,11.95974688,1.764712523,6,0.794214333,0.762057982,-7.029474666,0.865793744,8,0,-18.79149211,206.883832,0,0,9,2516.619475,0,0.832543812,0,0,0,5.387829681,115.5162539,1.356323525,15,126.9627438,0.324786325,-146.5783476,2,0
D0982,0,0,0,11.49902367,0,0,0,0,14.21959508,1.202198137,1.0844,0,0.139238965,0.024056261,4.897291194,0,0.020244898,18.01851852,-612.4164947,0,-96.34765625,15.20739338,0.068041382,9.036251301,0,1.309642947,0,0,0.497242838,-562.1699682,-0.754583333,-1.755855513,0,0.339058892,6.041840829,1.600785404,3,0.561523438,0.963652163,-0.282195636,0.084191577,1,0,-3.497506776,189.9873775,0,0,1,487.9575702,0,0.961422088,0,0,0,3.509234488,-69.703125,1.437681159,6,6.6484375,0.1875,69.04296875,0,0
D0902,0,1,0,5.749511833,0,1,0,0,39.19456405,1.423219702,4.4956,0,0.070516252,0.086066699,15.01398762,0,0.020280612,21.06976744,630.2886099,0,-31.73286052,4.736862954,0.196735636,12.68585833,0,1.521990448,0,0,0.439217859,-1741.451322,0,-4.752862206,0,0.247193875,0,1.87643354,7,0.584880036,0.845028979,-12.53781146,0.136930639,3,0,-8.363819723,214.7367523,0,0,3,1090.983816,0,0.818273796,0,0,0,4.101057931,71.60615663,1.235573115,12,7.429907952,0.29787234,-100.6709421,1,1
D0213,0,1,0,0,1,1,0,0,13.21376393,0.79339513,-0.3954,0,0.21275219,0.20784538,0,0,0.039954649,25.73563218,388.4483275,0,-87.47569257,33.00637394,0.609883583,6.176808163,0,1.296595113,0,0,0.798429766,-956.3627191,-1.500474773,-1.017585686,2,0.292930599,12.71084835,1.613878366,0,0.936722553,0.759156687,-5.597726064,0.089341908,6,0,-1.090833262,193.1669553,0,0,3,537.3823102,0,0.780621342,0,0,0,3.703679439,61.25743645,1.348351517,0,86.32287723,0.279069767,-19.14716664,1,1
D0917,0,2,1,0,1,0,0,0,12.36446059,0.577840276,1.6425,0,0.157315335,0.235108896,6.315440589,0,0.023566275,35.85964912,268.2904257,0,21.62758902,0,0.261104034,5.175307335,0,1.808135441,0.002345679,0,0.51965588,-27.32905322,1.488644928,-2.467723901,1,0.938003598,27.04669763,2.150011974,6,0.77318641,0.71009664,1.609285462,0.486321492,0,0,0.651520374,261.7182125,0,0,3,294.9925181,0,0.799084319,0,0,0,3.058010656,-21.7107438,1.078134767,11,51.10070401,0.515151515,-1.462707887,1,1
D0333,0,0,0,0,0,0,0,0,27.68777235,0.913593336,0.1764,0,0.135123852,0,0,0,0,15.40816327,728.5823683,0,9.530612245,10.47053043,0,11.83269569,0,1.16271968,0,0,0.776976912,-714.5863647,-0.82087963,-1.257157625,0,0,6.103966388,1.368552935,0,0.575255102,0.902016385,-1.206786791,0,2,1,-1.680640012,157.5875667,0,0,0,579.8020889,0,1.093786833,0,0,0,3.326369741,205.7066327,2.343363953,0,14.14285714,0,23.51020408,0,0
D0281,0,0,0,0,0,0,10.04526663,0,7.047671983,0.84332956,5.1796,0,0.069754565,0.093500706,15.11632523,0,0.023142857,23.17391304,221.8455231,0,6.012345679,23.20187978,0.206930271,1.610910724,2,1.383907084,0,0,0.433074388,443.4571769,2.262804312,-6.159693524,0,0.413860541,0,2.043732853,7,0.606281958,0.695637744,2.208929186,0.227866891,0,0,-1.153807017,242.6882993,0,1,3,111.1528399,1,0.556358168,0,0,0,3.810100989,-124.1928415,1.232687271,12,-3.209876543,0.432432432,-8.901234568,0,1
D0299,0,0,0,0,0,0,0,0,29.74942943,0.824277867,3.2646,0,0.123470248,0.095601444,6.118146862,0,0.022612943,21.225,224.6948921,0,50.94837262,28.30840718,0.313275469,-0.797099178,2,1.402807252,0.008264463,0,0.45683129,118.1003492,1.400335643,-4.749393816,1,0.32616718,6.420821623,1.798407426,3,0.563533058,0.724385036,0.04757209,0.121564667,4,0,-0.976553648,218.1748875,0,0,2,-63.76793421,0,0.596181239,0,0,0,3.749853486,-123.3140496,1.192254812,9,45.3124171,0.204545455,-80.16559535,0,0
D0972,0,0,0,0,0,0,0,0,33.28882316,0.971903027,3.4841,0,0.092994829,0.134137088,9.334190782,0,0.018222515,15.92035398,-209.8040999,0,-113.1358805,4.736862954,0.204124145,1.842273054,0,1.295888223,0.00765228,0,0.507028922,-758.9532245,5.052654225,-5.037300401,0,0.73330202,5.917906046,1.66978817,5,0.553289285,0.855275366,-2.595909677,0.196944217,6,1,6.116320525,183.7828602,0,0,2,208.1768552,0,1.047063414,0,0,0,4.575716779,-15.94110888,1.831771106,6,64.33352485,0.220338983,-118.3286412,0,0
D0804,0,0,0,11.49902367,0,1,0,0,13.59242839,0.79206262,2.8499,0,0.095697005,0.102679974,10.19563752,0,0.023628118,21.38028169,-897.5451885,0,-47.36303871,0,0.224513414,7.034400729,0,1.437340667,0,0,0.417797118,-321.8061277,1.939256897,-3.60404894,0,0.543651713,11.49902367,1.904064516,5,0.695398101,0.917236194,-1.729171185,0.209634507,1,0,-1.372987161,227.1434247,0,0,4,499.4424517,0,0.834396355,0,0,0,3.810100989,-80.27392257,1.192241685,12,15.56975895,0.459459459,-26.92257122,1,0
D0992,0,0,0,0,0,0,0,0,13.59242839,1.810321645,1.7516,0,0.04693024,0.032075015,10.30834459,0,0.016734694,16.09756098,244.1005994,0,9.2976,6.423349896,0.102062073,1.786846019,0,1.457671756,0,0,0.35863922,-45.96148504,5.191416604,-2.243864689,0,0,0,1.803487041,5,0.4096,0.946207818,-0.25324054,0,2,0,-2.647159948,212.2435508,0,0,1,73.26068677,0,0.970892945,0,0,0,3.446378566,68.216,1.743521341,6,-30.9024,0.24,4.2768,0,0
D0425,0,0,0,0,0,0,0,0,27.24698234,0.912733629,1.9229,0,0.106589569,0.137711574,6.528740683,0,0.021583358,19.16455696,-722.1538729,0,-34.22222222,4.736862954,0.473349991,6.018889276,0,1.467929484,0.007083825,0,0.451063707,-433.3443953,3.617936658,-4.278310542,2,0.136082763,12.1350809,1.721750148,4,0.574263039,0.81132023,-2.364802683,0.050296116,2,0,0.554220172,204.5655508,0,0,3,475.4922528,0,0.85804082,0,0,0,3.88079889,43.77777778,1.366376348,9,3.111111111,0.357142857,10,0,0
